company_id,type,rule_id,text,confidence_pct
ABB,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ABB,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,90
ADANIENSOL,con,CON_3,Operating margins declining for three consecutive years suggest pricing or cost pressure.,85
ADANIENSOL,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
ADANIENSOL,con,CON_9,Earnings per share declining for three consecutive years reflects weakening profitability.,88
ADANIENSOL,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIENSOL,pro,PRO_11,Revenue growth outpacing profit growth indicates improving operating leverage potential.,75
ADANIENT,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
ADANIENT,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENT,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,90
ADANIGREEN,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
ADANIGREEN,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPORTS,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPOWER,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ADANIPOWER,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIPOWER,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
ADANIPOWER,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
AMBUJACEM,con,CON_5,Revenue contraction over two consecutive years indicates weakening business momentum.,82
AMBUJACEM,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
AMBUJACEM,con,CON_12,Revenue growth below 5% over five years suggests weak business momentum.,90
AMBUJACEM,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
APOLLOHOSP,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
APOLLOHOSP,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
APOLLOHOSP,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
APOLLOHOSP,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
APOLLOHOSP,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ASIANPAINT,con,CON_5,Revenue contraction over two consecutive years indicates weakening business momentum.,82
ASIANPAINT,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
ASIANPAINT,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
ASIANPAINT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
ASIANPAINT,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
ASIANPAINT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
AXISBANK,con,CON_1,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,90
AXISBANK,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
AXISBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
AXISBANK,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
AXISBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJ-AUTO,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BAJAJ-AUTO,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BAJAJ-AUTO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJ-AUTO,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
BAJAJFINSV,con,CON_1,Debt-to-equity ratio of 4.79 is elevated and warrants monitoring.,90
BAJAJFINSV,con,CON_2,Free cash flow negative for three consecutive years raises concern about cash generation quality.,92
BAJAJFINSV,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BAJAJFINSV,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJFINSV,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJFINSV,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
BAJAJFINSV,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
BAJAJHLDNG,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BAJAJHLDNG,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
BAJAJHLDNG,pro,PRO_11,Revenue growth outpacing profit growth indicates improving operating leverage potential.,75
BAJAJHLDNG,pro,PRO_12,Growing asset base funded with declining debt reflects self-sustaining growth.,90
BAJFINANCE,con,CON_1,Debt-to-equity ratio of 3.82 is elevated and warrants monitoring.,90
BAJFINANCE,con,CON_2,Free cash flow negative for three consecutive years raises concern about cash generation quality.,92
BAJFINANCE,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BAJFINANCE,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BAJFINANCE,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,con,CON_1,Debt-to-equity ratio of 12.14 is elevated and warrants monitoring.,90
BANKBARODA,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BANKBARODA,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BANKBARODA,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BANKBARODA,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
BEL,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BEL,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
BHARTIARTL,con,CON_1,Debt-to-equity ratio of 2.61 is elevated and warrants monitoring.,90
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
BHARTIARTL,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
BHARTIARTL,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BHEL,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
BHEL,con,CON_12,Revenue growth below 5% over five years suggests weak business momentum.,90
BHEL,pro,PRO_11,Revenue growth outpacing profit growth indicates improving operating leverage potential.,75
BOSCHLTD,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
BOSCHLTD,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BOSCHLTD,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
BOSCHLTD,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
BOSCHLTD,pro,PRO_12,Growing asset base funded with declining debt reflects self-sustaining growth.,90
BPCL,con,CON_5,Revenue contraction over two consecutive years indicates weakening business momentum.,82
BPCL,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BPCL,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
BRITANNIA,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
BRITANNIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
BRITANNIA,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
CANBK,con,CON_1,Debt-to-equity ratio of 14.87 is elevated and warrants monitoring.,90
CANBK,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
CANBK,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
CANBK,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CANBK,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
CHOLAFIN,con,CON_1,Debt-to-equity ratio of 6.86 is elevated and warrants monitoring.,90
CHOLAFIN,con,CON_2,Free cash flow negative for three consecutive years raises concern about cash generation quality.,92
CHOLAFIN,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
CHOLAFIN,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CHOLAFIN,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
CHOLAFIN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
CHOLAFIN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
CIPLA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
CIPLA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
CIPLA,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
CIPLA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
CIPLA,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
CIPLA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
CIPLA,pro,PRO_12,Growing asset base funded with declining debt reflects self-sustaining growth.,90
COALINDIA,con,CON_5,Revenue contraction over two consecutive years indicates weakening business momentum.,82
COALINDIA,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
COALINDIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
COALINDIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
COALINDIA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
COALINDIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
COALINDIA,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
COALINDIA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DABUR,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
DABUR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DABUR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DABUR,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
DABUR,pro,PRO_11,Revenue growth outpacing profit growth indicates improving operating leverage potential.,75
DIVISLAB,con,CON_3,Operating margins declining for three consecutive years suggest pricing or cost pressure.,85
DIVISLAB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DIVISLAB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DIVISLAB,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
DIVISLAB,pro,PRO_11,Revenue growth outpacing profit growth indicates improving operating leverage potential.,75
DLF,con,CON_12,Revenue growth below 5% over five years suggests weak business momentum.,90
DLF,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DLF,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DLF,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
DLF,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
DMART,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
DMART,pro,PRO_4,Revenue growing above 15% CAGR over 5 years reflects strong business momentum.,90
DMART,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
DMART,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DMART,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DRREDDY,con,CON_8,"Borrowings have increased for three consecutive years, indicating rising leverage.",85
DRREDDY,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
DRREDDY,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
DRREDDY,pro,PRO_6,Net profit compounding above 20% over five years creates significant shareholder value.,91
DRREDDY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
DRREDDY,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
DRREDDY,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
EICHERMOT,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
EICHERMOT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,92
EICHERMOT,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
EICHERMOT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,88
EICHERMOT,pro,PRO_8,Positive free cash flow supports sustainable shareholder distributions.,82
EICHERMOT,pro,PRO_10,Return on equity improving for three consecutive years shows strengthening business quality.,87
GAIL,con,FALLBACK_CON,No significant financial risks identified using the available financial rules.,60
